Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
NWS,3,0,3,1,3.0,1.0,11
NWSA,3,0,3,1,3.0,1.0,11
NXGN,1,0,1,2,1.0,1.0,6
NXPI,1,0,1,0,2.0,0.0,4
NXST,1,2,3,2,3.0,2.0,13
NYMT,0,1,0,1,2.0,1.0,5
OAS,1,0,1,0,2.0,0.0,4
OBAS,0,0,0,0,1.0,0.0,1
OBLN,2,2,2,0,0.0,0.0,6
OBNK,1,0,1,0,0.0,0.0,2
OCC,1,0,1,0,0.0,0.0,2
OCFC,2,2,2,2,2.0,0.0,10
OCSI,1,1,1,1,0.0,0.0,4
OCSL,1,1,1,1,0.0,1.0,5
OCUL,0,0,1,3,0.0,0.0,4
ODP,1,0,1,0,1.0,0.0,3
OEG,1,1,1,3,0.0,0.0,6
OESX,1,2,1,3,1.0,2.0,10
OFED,1,2,1,2,1.0,1.0,8
OFIX,1,0,1,0,1.0,2.0,5
OFLX,1,0,1,0,3.0,2.0,7
OFS,2,0,2,0,0.0,0.0,4
OGI,0,0,1,1,0.0,,2
OKTA,2,0,0,0,0.0,0.0,2
OLB,3,2,3,0,,,8
OLED,1,1,1,1,1.0,1.0,6
OLLI,2,2,2,2,2.0,2.0,12
OMAB,1,0,1,0,2.0,0.0,4
OMCL,3,1,3,1,1.0,1.0,10
OMER,1,1,1,1,0.0,0.0,4
OMEX,0,0,2,0,0.0,0.0,2
OMP,1,1,1,0,1.0,0.0,4
ONB,1,0,1,0,0.0,0.0,2
ONCT,0,0,2,2,0.0,0.0,4
ONEM,1,1,1,3,0.0,,6
ONEW,0,2,0,2,2.0,,6
ONTX,1,1,1,1,0.0,0.0,4
OPBK,1,0,1,0,2.0,1.0,5
OPCH,2,3,1,3,2.0,0.0,11
OPGN,0,0,2,3,0.0,0.0,5
OPHC,3,2,3,2,2.0,0.0,12
OPI,2,1,3,1,0.0,1.0,8
OPK,2,2,0,2,2.0,2.0,10
OPOF,2,0,2,0,0.0,0.0,4
OPRA,3,1,2,1,3.0,0.0,10
OPRT,2,0,2,0,2.0,0.0,6
OPRX,2,2,3,2,2.0,0.0,11
OPTT,0,0,2,3,0.0,0.0,5
ORGO,1,1,1,1,2.0,0.0,6
ORGS,3,2,2,2,0.0,2.0,11
ORLY,0,3,0,3,0.0,2.0,8
ORRF,2,1,2,1,1.0,1.0,8
OSBC,0,0,0,0,0.0,0.0,0
OSIS,2,0,2,0,2.0,1.0,7
OSMT,1,1,1,0,0.0,0.0,3
OSTK,0,2,0,2,0.0,2.0,6
OSUR,1,2,1,2,3.0,0.0,9
OTEL,0,0,1,0,0.0,0.0,1
OTEX,2,2,2,2,1.0,1.0,10
OTIC,0,0,1,0,0.0,0.0,1
OTRK,1,1,0,3,0.0,0.0,5
