Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
CRI,1,0,1,0,3.0,0.0,5
CRK,3,1,2,1,2.0,1.0,10
CRM,2,1,2,1,1.0,1.0,8
CRS,2,0,0,0,0.0,0.0,2
CRT,0,1,0,1,0.0,1.0,3
CRY,1,0,1,0,0.0,1.0,3
CS,0,1,0,1,0.0,0.0,2
CSL,1,1,1,0,1.0,0.0,4
CSPR,1,1,3,0,0.0,,5
CSTM,1,1,1,0,2.0,1.0,6
CSU,0,0,0,0,0.0,0.0,0
CSV,1,3,1,2,1.0,2.0,10
CTB,1,1,1,0,1.0,3.0,7
CTLT,2,2,2,2,2.0,1.0,11
CTS,1,0,1,0,1.0,0.0,3
CTT,1,0,3,0,0.0,0.0,4
CTVA,2,2,2,2,2.0,2.0,12
CUB,1,1,1,1,1.0,1.0,6
CUBI,1,3,1,3,0.0,3.0,11
CUK,0,0,2,1,0.0,0.0,3
CURO,2,0,2,0,0.0,2.0,6
CUZ,1,1,1,1,1.0,1.0,6
CVA,1,0,1,2,1.0,0.0,5
CVE,0,0,1,0,0.0,1.0,2
CVEO,1,1,1,0,1.0,0.0,4
CVI,0,0,1,0,0.0,0.0,1
CVNA,1,0,1,0,0.0,0.0,2
CVS,2,1,3,1,0.0,1.0,8
CVX,1,0,1,0,0.0,0.0,2
CW,1,0,3,0,1.0,0.0,5
CWEN,1,1,1,1,1.0,1.0,6
CWH,0,2,0,2,1.0,0.0,5
CWK,3,0,3,0,0.0,0.0,6
CWT,1,2,1,2,1.0,2.0,9
CX,1,0,1,0,0.0,0.0,2
CXO,2,0,2,0,0.0,0.0,4
CXW,3,1,2,1,1.0,1.0,9
CYD,0,2,0,3,2.0,0.0,7
CYH,1,0,1,0,2.0,2.0,6
DAC,2,2,0,2,1.0,2.0,9
DAL,0,1,1,0,0.0,1.0,3
DAN,1,0,1,0,1.0,0.0,3
DAR,1,2,2,0,2.0,2.0,9
DAVA,1,0,3,0,3.0,0.0,7
DBD,1,1,1,0,0.0,0.0,3
DBI,3,1,3,1,0.0,2.0,10
DCI,1,0,3,0,0.0,1.0,5
DCO,3,1,3,1,3.0,1.0,12
DCP,1,0,1,0,1.0,0.0,3
DD,1,0,1,0,2.0,0.0,4
DDS,2,0,2,0,1.0,0.0,5
DE,1,0,1,0,2.0,1.0,5
DECK,1,1,1,0,1.0,0.0,4
DEI,1,0,1,0,3.0,1.0,6
DELL,2,0,2,2,1.0,2.0,9
DEN,2,1,2,1,0.0,0.0,6
DESP,0,0,2,0,0.0,0.0,2
DFIN,2,2,2,2,1.0,0.0,9
DFS,1,1,1,1,1.0,0.0,5
DG,0,3,0,1,0.0,2.0,6
DGX,1,3,1,3,1.0,3.0,12
DHI,1,2,0,2,0.0,2.0,7
DHR,1,2,2,2,2.0,3.0,12
DHT,0,1,0,1,1.0,1.0,4
DHX,0,0,0,0,2.0,1.0,3
DIN,2,3,2,3,2.0,1.0,13
DIS,2,0,1,1,2.0,0.0,6
DK,0,0,1,0,1.0,2.0,4
DKL,0,2,1,0,1.0,1.0,5
DKS,1,2,1,2,1.0,0.0,7
DL,3,1,3,0,2.0,1.0,10
DLB,3,1,3,1,2.0,1.0,11
DLNG,1,2,2,2,2.0,0.0,9
DLR,2,2,2,2,2.0,1.0,11
DLX,1,0,1,0,0.0,2.0,4
DMS,1,0,3,0,2.0,,6
DNB,1,2,2,2,2.0,,9
DNOW,0,0,0,0,0.0,0.0,0
DOC,2,2,2,2,2.0,0.0,10
DOOR,1,3,1,2,0.0,0.0,7
DOV,1,1,1,0,1.0,1.0,5
DOW,1,0,1,0,2.0,2.0,6
DPZ,2,2,2,2,2.0,2.0,12
DQ,2,0,0,2,2.0,0.0,6
DRE,2,0,1,0,2.0,1.0,6
DRH,0,0,1,1,0.0,1.0,3
DRI,1,0,1,0,3.0,0.0,5
DRQ,1,1,1,1,2.0,2.0,8
DS,2,0,2,1,0.0,0.0,5
DSSI,0,2,0,3,0.0,,5
DSX,1,0,1,0,0.0,0.0,2
DT,3,3,3,3,1.0,,13
DTE,1,3,1,0,2.0,2.0,9
DUK,1,1,1,0,1.0,1.0,5
DVA,1,1,1,2,2.0,1.0,8
DVD,1,0,1,0,2.0,0.0,4
DVN,1,0,1,0,0.0,0.0,2
DX,2,2,2,2,1.0,0.0,9
DXC,1,0,1,0,2.0,0.0,4
E,2,0,1,0,0.0,0.0,3
EARN,1,2,1,2,1.0,2.0,9
EAT,1,0,1,1,1.0,1.0,5
EB,1,0,1,0,0.0,0.0,2
EBF,3,0,2,3,1.0,0.0,9
EBS,2,3,2,1,2.0,2.0,12
ECL,1,1,1,1,1.0,1.0,6
ECOM,2,2,2,2,2.0,3.0,13
ED,1,1,1,0,1.0,0.0,4
EDN,2,0,2,0,2.0,1.0,7
EDU,1,0,1,0,1.0,2.0,5
EEX,0,0,3,0,0.0,0.0,3
EFC,2,0,2,0,1.0,0.0,5
EFX,1,3,1,3,1.0,2.0,11
EGHT,2,1,1,3,0.0,0.0,7
EGO,0,3,0,3,1.0,2.0,9
EGY,2,1,2,1,3.0,1.0,10
EHC,1,0,1,0,1.0,1.0,4
EIG,2,1,2,1,2.0,0.0,8
EIX,1,1,1,2,1.0,2.0,8
EL,1,0,1,0,1.0,1.0,4
ELAN,1,2,1,2,0.0,1.0,7
ELS,1,0,1,0,3.0,1.0,6
ELVT,0,1,0,0,1.0,1.0,3
ELY,1,1,1,1,1.0,0.0,5
EME,1,1,1,1,1.0,0.0,5
EMN,1,0,1,0,1.0,0.0,3
EMR,1,0,1,0,1.0,0.0,3
ENB,2,1,1,1,2.0,1.0,8
ENBL,3,0,3,0,2.0,0.0,8
ENIA,1,0,3,0,2.0,1.0,7
ENIC,1,0,1,1,2.0,0.0,5
ENLC,1,0,1,0,1.0,0.0,3
ENR,2,1,1,1,2.0,0.0,7
ENS,3,3,3,2,2.0,1.0,14
ENV,1,2,1,2,2.0,1.0,9
ENVA,1,0,1,0,2.0,2.0,6
ENZ,1,2,3,0,2.0,1.0,9
EOG,1,0,1,0,0.0,0.0,2
EPAC,3,0,1,0,3.0,2.0,9
EPAM,3,0,3,0,2.0,1.0,9
EPC,0,0,1,0,1.0,2.0,4
EPD,3,0,1,0,2.0,1.0,7
EPR,2,0,2,1,0.0,0.0,5
EQC,1,0,1,0,2.0,0.0,4
EQH,0,0,1,2,0.0,,3
EQNR,1,0,1,0,0.0,0.0,2
EQR,0,1,0,1,2.0,1.0,5
EQT,3,0,3,0,2.0,0.0,8
ERF,1,0,1,0,0.0,0.0,2
ERJ,2,2,2,2,0.0,0.0,8
ES,1,3,1,2,1.0,2.0,10
ESE,1,1,1,1,2.0,2.0,8
ESI,1,0,1,2,1.0,1.0,6
ESNT,1,1,0,0,1.0,0.0,3
ESS,0,1,0,1,2.0,3.0,7
ESTC,1,0,1,0,0.0,0.0,2
ESTE,2,0,2,0,0.0,1.0,5
ET,1,0,1,0,2.0,0.0,4
ETH,1,0,1,0,1.0,0.0,3
ETM,1,0,1,0,0.0,0.0,2
ETN,1,0,1,0,1.0,1.0,4
ETR,1,1,1,0,0.0,0.0,3
ETRN,1,0,3,0,1.0,2.0,7
EV,2,0,3,2,2.0,0.0,9
EVA,3,1,1,3,0.0,0.0,8
EVC,2,0,2,0,3.0,0.0,7
EVH,1,2,1,0,0.0,0.0,4
EVR,2,2,2,2,2.0,2.0,12
EVRG,1,0,1,0,3.0,3.0,8
EVRI,2,3,2,2,0.0,1.0,10
EVTC,2,1,2,1,2.0,1.0,9
EW,1,1,1,1,1.0,1.0,6
EXK,1,0,2,1,0.0,0.0,4
EXPR,2,2,3,0,0.0,0.0,7
EXR,3,0,1,1,3.0,2.0,10
EXTN,2,0,2,0,0.0,0.0,4
F,1,0,1,0,0.0,0.0,2
FAF,0,3,1,3,2.0,1.0,10
FBC,0,3,0,3,0.0,2.0,8
FBHS,1,3,1,3,1.0,3.0,12
FBK,2,0,2,0,2.0,0.0,6
FBP,2,1,2,1,2.0,0.0,8
FC,1,0,1,0,1.0,0.0,3
FCF,2,0,2,0,2.0,0.0,6
FCN,1,0,1,1,3.0,1.0,7
FCPT,1,1,1,1,1.0,2.0,7
FCX,0,2,1,0,1.0,2.0,6
FDP,0,1,2,0,0.0,1.0,4
FDS,2,1,1,0,2.0,1.0,7
FDX,1,2,1,0,1.0,2.0,7
FE,1,2,1,0,0.0,2.0,6
FENG,1,0,1,2,0.0,2.0,6
FET,1,0,2,0,0.0,0.0,3
FF,2,1,2,0,0.0,1.0,6
FFG,0,1,2,1,1.0,2.0,7
FHI,1,1,1,1,2.0,1.0,7
FHN,1,2,1,2,1.0,2.0,9
FI,2,0,2,0,0.0,0.0,4
FIT,1,0,3,0,0.0,0.0,4
FIX,0,0,0,0,1.0,1.0,2
FL,2,1,2,0,3.0,1.0,9
FLNG,3,0,3,0,2.0,,8
FLOW,0,0,1,0,1.0,2.0,4
FLR,1,2,0,0,2.0,1.0,6
FLT,3,0,1,1,1.0,1.0,7
FLY,2,1,2,1,0.0,1.0,7
FMC,2,0,2,0,0.0,2.0,6
FMS,0,1,0,1,0.0,2.0,4
FN,1,1,1,1,1.0,1.0,6
FND,1,1,1,0,2.0,2.0,7
FNF,2,3,2,3,2.0,1.0,13
FNV,2,2,2,2,1.0,2.0,11
FOE,2,1,2,1,2.0,0.0,8
FOR,1,3,1,1,1.0,2.0,9
FPH,1,2,1,2,3.0,2.0,11
FPI,0,0,2,0,0.0,2.0,4
FRC,1,2,1,2,0.0,2.0,8
FRO,0,1,0,1,0.0,1.0,3
FRT,1,0,1,0,2.0,1.0,5
FSK,0,2,0,2,2.0,1.0,7
FSKR,2,2,2,2,,,8
FSLY,2,3,2,3,0.0,,10
FSS,3,0,3,0,1.0,0.0,7
FTCH,1,3,3,1,0.0,,8
FTI,0,1,1,1,0.0,0.0,3
FTK,0,0,2,0,0.0,0.0,2
FTS,2,1,3,1,3.0,1.0,11
FTV,1,1,1,1,2.0,2.0,8
FUL,2,0,2,0,0.0,0.0,4
FUN,0,1,1,1,0.0,1.0,4
G,1,1,1,1,2.0,1.0,7
GATX,1,3,1,1,1.0,1.0,8
GBX,0,0,0,1,0.0,0.0,1
GCI,3,3,3,3,0.0,0.0,12
GCO,1,0,1,0,2.0,2.0,6
GCP,2,0,2,1,2.0,2.0,9
GD,3,0,2,0,1.0,0.0,6
GDDY,1,0,1,0,1.0,1.0,4
GDOT,0,2,0,2,0.0,0.0,4
GE,3,0,3,0,2.0,2.0,10
GEF,1,1,1,1,1.0,0.0,5
GEL,0,0,1,0,0.0,2.0,3
GEN,2,0,0,0,0.0,2.0,4
GEO,1,1,0,1,0.0,1.0,4
GES,1,1,1,1,2.0,3.0,9
GFF,0,0,0,0,2.0,2.0,4
GFL,0,1,2,1,,,4
GGG,1,0,1,2,1.0,0.0,5
GHC,3,0,1,1,1.0,1.0,7
GHL,3,2,3,2,2.0,2.0,14
GHM,1,1,1,1,1.0,2.0,7
GIB,1,0,2,0,2.0,0.0,5
GIL,1,0,1,0,2.0,0.0,4
GIS,2,1,2,1,2.0,2.0,10
GL,1,1,2,1,3.0,1.0,9
