Date,Open,High,Low,Close,Adj Close,Volume,Zlema,PVT,MAMAFAMA,BuySellCount,BuySell
1981-12-24,0.0977,0.0982,0.0977,0.0977,0.0768,28918400,True,,,1,0
1981-12-28,0.0943,0.0943,0.0932,0.0932,0.0733,36579200,False,,,-1,0
1981-12-29,0.0949,0.096,0.0949,0.0949,0.0746,24236800,False,,,-1,0
1981-12-30,0.0988,0.0993,0.0988,0.0988,0.0777,32188800,True,,,1,0
1981-12-31,0.0988,0.0993,0.0988,0.0988,0.0777,54656000,True,,,1,0
1982-01-04,0.0988,0.0988,0.0982,0.0982,0.0772,71254400,True,,,1,0
1982-01-05,0.0943,0.0943,0.0932,0.0932,0.0733,35840000,False,,,-1,0
1982-01-06,0.0926,0.0926,0.0921,0.0921,0.0724,66080000,False,,,-1,0
1982-01-07,0.0859,0.0859,0.0848,0.0848,0.0667,70044800,False,False,,-2,False
1982-01-08,0.0887,0.0893,0.0887,0.0887,0.0698,56604800,False,,,-1,0
1982-01-11,0.0837,0.0837,0.0831,0.0831,0.0654,33331200,False,,,-1,0
1982-01-12,0.0809,0.0809,0.0804,0.0804,0.0632,59920000,False,,,-1,0
1982-01-13,0.0804,0.0804,0.0798,0.0798,0.0627,41753600,False,,,-1,0
1982-01-14,0.0837,0.0843,0.0837,0.0837,0.0658,25715200,False,,,-1,0
1982-01-15,0.0893,0.0904,0.0893,0.0893,0.0702,46704000,True,True,,2,Buy
1982-01-18,0.091,0.0921,0.091,0.091,0.0715,28000000,True,,,1,0
1982-01-19,0.0898,0.0898,0.0887,0.0887,0.0698,55507200,True,False,,0,0
1982-01-20,0.0904,0.091,0.0904,0.0904,0.0711,25827200,True,,,1,0
1982-01-21,0.0921,0.0926,0.0921,0.0921,0.0724,33331200,True,True,,2,Buy
1982-01-22,0.0926,0.0932,0.0926,0.0926,0.0728,24259200,True,,,1,0
1982-01-25,0.0904,0.0904,0.0898,0.0898,0.0706,44710400,False,False,,-2,False
